Sentence,Aspect,Category,Opinion,Polarity,Implicitness
i like the shoes . they are comfortable . however i don ' t feel they are anywheres near the quality i ' ve come to expect from new balance . they seem quite pricey for what they are .,shoes,general,i like,positive,EAEO
i like the shoes . they are comfortable . however i don ' t feel they are anywheres near the quality i ' ve come to expect from new balance . they seem quite pricey for what they are .,null,performance#comfort,they are comfortable,positive,IAEO
i like the shoes . they are comfortable . however i don ' t feel they are anywheres near the quality i ' ve come to expect from new balance . they seem quite pricey for what they are .,new balance,appearance#misc,i don ' t feel they are anywheres near the quality,negative,EAEO
i like the shoes . they are comfortable . however i don ' t feel they are anywheres near the quality i ' ve come to expect from new balance . they seem quite pricey for what they are .,null,cost/value,seem quite pricey for what they are,negative,IAEO
new balance did great with the design of these shoes . they look great in all the color combos they released . i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,shoes,appearance#general,great with the design,positive,EAEO
new balance did great with the design of these shoes . they look great in all the color combos they released . i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,null,appearance#color,look great in all the color combos,positive,IAEO
new balance did great with the design of these shoes . they look great in all the color combos they released . i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,null,contextofuse#use case,i love that they ' re low key and not crazy,positive,IAEO
new balance did great with the design of these shoes . they look great in all the color combos they released . i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,neon colors,appearance#color,i love that they ' re low key and not crazy,positive,EAEO
"for me they did not work . ran small , but the weight of them were nice . hardly noticed they were in your hand .",null,performance#general,for me they did not work,negative,IAEO
"for me they did not work . ran small , but the weight of them were nice . hardly noticed they were in your hand .",null,appearance#material,the weight of them were nice,positive,IAEO
"for me they did not work . ran small , but the weight of them were nice . hardly noticed they were in your hand .",null,performance#sizing/fit,ran small,negative,IAEO
"for me they did not work . ran small , but the weight of them were nice . hardly noticed they were in your hand .",null,appearance#material,hardly noticed they were in your hand,positive,IAEO
i think they are cute and light weight . they were too narrow for me . i did order a wide but still too narrow .,null,appearance#material,light weight,positive,IAEO
i think they are cute and light weight . they were too narrow for me . i did order a wide but still too narrow .,null,appearance#form,i think they are cute,positive,IAEO
i think they are cute and light weight . they were too narrow for me . i did order a wide but still too narrow .,null,performance#sizing/fit,too narrow for me,negative,IAEO
i think they are cute and light weight . they were too narrow for me . i did order a wide but still too narrow .,null,performance#sizing/fit,i did order a wide but still too narrow,negative,IAEO
"omg these are the most comfortable sneakers in the world . i can walk 5 , 6 , 7 miles in them . my whole body may be tired but my feet are great !",sneakers,performance#comfort,omg these are the most comfortable sneakers in the world,positive,EAEO
"omg these are the most comfortable sneakers in the world . i can walk 5 , 6 , 7 miles in them . my whole body may be tired but my feet are great !",null,performance#use case applicability,"i can walk 5 , 6 , 7 miles",positive,IAEO
"omg these are the most comfortable sneakers in the world . i can walk 5 , 6 , 7 miles in them . my whole body may be tired but my feet are great !",null,performance#comfort,"i can walk 5 , 6 , 7 miles",positive,IAEO
"omg these are the most comfortable sneakers in the world . i can walk 5 , 6 , 7 miles in them . my whole body may be tired but my feet are great !",null,performance#general,my whole body may be tired but my feet are great,positive,IAEO
are these women ' s ? they are way to small on my husband . maybe i fluked but will be returning .,null,performance#sizing/fit,they are way to small on my husband,negative,IAEO
are these women ' s ? they are way to small on my husband . maybe i fluked but will be returning .,null,contextofuse#purchase\_context,maybe i fluked but will be returning,negative,IAEO
are these women ' s ? they are way to small on my husband . maybe i fluked but will be returning .,null,performance#sizing/fit,are these women ' s ?,negative,IAEO
if should bot take this long to get shoes these shoes . they were a birthday gift . now too late . thanks nb,shoes,contextofuse#purchase\_context,should bot take this long to get,negative,EAEO
if should bot take this long to get shoes these shoes . they were a birthday gift . now too late . thanks nb,null,contextofuse#purchase\_context,were a birthday gift,neutral,IAEO
if should bot take this long to get shoes these shoes . they were a birthday gift . now too late . thanks nb,null,contextofuse#purchase\_context,now too late,negative,IAEO
if should bot take this long to get shoes these shoes . they were a birthday gift . now too late . thanks nb,null,contextofuse#purchase\_context,thanks,negative,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,performance#general,but couldn ' t wear them,negative,IAEO
