Sentence,Aspect,Category,Opinion,Polarity,Implicitness
acer wants $ 170 to just look at it then add the repair cost on top of that .,acer,PRICE,implicit,neutral,EAIO
update : i repaired it myself for $ 12 .,implicit,GENERAL,implicit,neutral,IAIO
i had nothing to lose since it was a paper weight otherwise .,implicit,GENERAL,implicit,negative,IAIO
the shame of it is knowing it took me 15 minutes and $ 12 to fix it and acer wanted to rob me of $ 170 just to look at it .,acer,GENERAL,implicit,negative,EAIO
"first one that they shipped was obviously defective , super slow and speakers were garbled .",implicit,GENERAL,defective,negative,IAEO
"first one that they shipped was obviously defective , super slow and speakers were garbled .",implicit,GENERAL,slow,negative,IAEO
"first one that they shipped was obviously defective , super slow and speakers were garbled .",speakers,GENERAL,garbled,negative,EAEO
"the replacement i got was much better , but still too slow for my expectations .",replacement,QUALITY,slow,negative,EAEO
i wound up returning it .,implicit,GENERAL,implicit,negative,IAIO
this works fine for that .,implicit,QUALITY,fine,positive,IAEO
"october 12 , 2017 - - started having trouble maintaining connection to wifi ( spectrum service ) , but usually after several loops re - entering password , connection would be re - established .",wifi,QUALITY,trouble,negative,EAEO
"sometimes had to do several times , but thought it might be an idiosyncrady of this model .",model,GENERAL,implicit,negative,EAIO
now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,chromebook,DESIGN_FEATURES,nice,positive,EAEO
now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,chromebook,OPERATION_PERFORMANCE,bummed,negative,EAEO
now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,chromebook,OPERATION_PERFORMANCE,unusable,negative,EAEO
now i ' m really bummed that i have a very nice looking chromebook with a beautiful screen that is totally unusable .,screen,OPERATION_PERFORMANCE,beautiful,positive,EAEO
i just got this thing today & was really excited about it but this has been frustrating & disappointing .,implicit,GENERAL,frustrating,negative,IAEO
i just got this thing today & was really excited about it but this has been frustrating & disappointing .,implicit,GENERAL,disappointing,negative,IAEO
i ' ll wait a while until this device gets 4 - 5 stars .,device,OPERATION_PERFORMANCE,implicit,neutral,EAIO
there are certain very basic tasks that this computer can do .,computer,GENERAL,implicit,negative,EAIO
"a lot of websites don ' t work properly with the chromebook , even though you ' re using the same browser .",chromebook,GENERAL,implicit,negative,EAIO
"overall , this thing can do very basic stuff , sometimes .",implicit,GENERAL,implicit,neutral,IAIO
"pro : light , reasonable price , fast .",implicit,DESIGN_FEATURES,light,positive,IAEO
"pro : light , reasonable price , fast .",implicit,OPERATION_PERFORMANCE,fast,positive,IAEO
"pro : light , reasonable price , fast .",price,PRICE,reasonable,positive,EAEO
keyboard key fragile .,keyboard,QUALITY,fragile,negative,EAEO
after 6 months my eyboard key is not function very well .,eyboard,OPERATION_PERFORMANCE,implicit,negative,EAIO
"i only use the chormebook for surving the internet , checking my email , and watch hulu or netflix .",chormebook,GENERAL,implicit,neutral,EAIO
this is something to reconsidered if one to buy the chromebook for doing homework and a lot of typing .,chromebook,GENERAL,implicit,neutral,EAIO
"up date per may 13 / 2018 about two months ago , the charger wont work .",charger,QUALITY,implicit,negative,EAIO
so latest update the charger only last about one year and the half .,charger,GENERAL,implicit,negative,EAIO
"overall , it is not horrible , but i wouldn ' t purchase this model again .",model,GENERAL,not,negative,EAEO
- long battery life,battery,QUALITY,long,positive,EAEO
- charges quickly,implicit,OPERATION_PERFORMANCE,quickly,positive,IAEO
- screen feels smaller than other of the same size .,screen,DESIGN_FEATURES,smaller,negative,EAEO
it gets two stars because it is a nice light weight and the folding is nice .,implicit,PORTABILITY,nice,positive,IAEO
it gets two stars because it is a nice light weight and the folding is nice .,implicit,PORTABILITY,light,positive,IAEO
it gets two stars because it is a nice light weight and the folding is nice .,folding,DESIGN_FEATURES,implicit,positive,EAIO
two replacements had the same problem all in 4 weeks .,replacements,GENERAL,implicit,negative,EAIO
i already returned the first laptop because i had to press extremely hard to get the left click to work .,laptop,GENERAL,implicit,negative,EAIO
"i ' ve had the device for 4 days now , and it has a number of big issues .",device,GENERAL,implicit,negative,EAIO
"next , is that the track pad is insanely wobbly .",track,OPERATION_PERFORMANCE,wobbly,negative,EAEO
one of the worst offenders is the battery life .,battery,QUALITY,worst,negative,EAEO
it also refuses to charge past 90 % and instantly jumps to 80 % when i unplug it .,implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
"there are issues beyond these , but it ' s all software related so i will let it be .",software,GENERAL,implicit,negative,EAIO
"within two days of receiving this item a line appeared on my screen ( while i was using it , previously fine ) and below it the image / screen flickered .",screen,OPERATION_PERFORMANCE,implicit,negative,EAIO
"the flip and touchscreen aspects work fine , no problems .",flip,OPERATION_PERFORMANCE,fine,positive,EAEO
"the flip and touchscreen aspects work fine , no problems .",touchscreen,OPERATION_PERFORMANCE,fine,positive,EAEO
it can not .,implicit,GENERAL,implicit,negative,IAIO
"screen looks good , it has a good battery life , keypad has some nice feedback , the works .",screen,DESIGN_FEATURES,good,positive,EAEO
"screen looks good , it has a good battery life , keypad has some nice feedback , the works .",battery,QUALITY,implicit,positive,EAIO
"screen looks good , it has a good battery life , keypad has some nice feedback , the works .",keypad,OPERATION_PERFORMANCE,nice,positive,EAEO
but you can ' t use an acer chromebook r 11 this way .,acer,GENERAL,implicit,negative,EAIO
and the chromebook does not go to sleep or otherwise shut off .,chromebook,OPERATION_PERFORMANCE,implicit,negative,EAIO
loved it for an hour than it went black and we got a chrome os missing or damage message .,chrome,QUALITY,implicit,negative,EAIO
terrible product and worse customer service - - do not buy,product,GENERAL,terrible,negative,EAEO
terrible product and worse customer service - - do not buy,customer,GENERAL,worse,negative,EAEO
we ordered this chromebook for my son to use for school .,chromebook,GENERAL,implicit,neutral,EAIO
"we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .",implicit,OPERATION_PERFORMANCE,fine,neutral,IAEO
"we received it in august , and it worked fine for just 5 months and then the touch screen stopped working .",touch,OPERATION_PERFORMANCE,implicit,negative,EAIO
"it worked properly for less than a week , and the touch screen stopped functioning again .",implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
"it worked properly for less than a week , and the touch screen stopped functioning again .",touch,QUALITY,implicit,negative,EAIO
"we contacted both acer and amazon , and they both informed us that it has to be sent back for repairs again .",acer,GENERAL,implicit,neutral,EAIO
"we contacted both acer and amazon , and they both informed us that it has to be sent back for repairs again .",amazon,GENERAL,implicit,neutral,EAIO
good display,display,GENERAL,good,positive,EAEO
good battery life,battery,QUALITY,good,positive,EAEO
no fans and stays reasonably cool unless you are playing a game .,fans,GENERAL,implicit,negative,EAIO
no fans and stays reasonably cool unless you are playing a game .,implicit,QUALITY,reasonably,positive,IAEO
"build quality seems ok , keyboard is not flimsy or too firm .",build,QUALITY,ok,positive,EAEO
"build quality seems ok , keyboard is not flimsy or too firm .",keyboard,GENERAL,not,positive,EAEO
my understanding is that chromeos is a very light weight so i don ' t know why it lags sometimes with under 10 tabs open and a youtube video playing .,chromeos,OPERATION_PERFORMANCE,light,positive,EAEO
i needed a small chromebook for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .,processor,PRICE,implicit,negative,EAIO
i needed a small chromebook for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .,keyboard,PRICE,implicit,negative,EAIO
"my main complaint is the battery life , i see many positive reviews about the battery life .",battery,GENERAL,complaint,negative,EAEO
i just find the battery draining to quickly in my opinion .,battery,OPERATION_PERFORMANCE,implicit,negative,EAIO
i tried messing around in the dev mode to adjust the microphone sensitivity but nothing seems to work .,microphone,GENERAL,implicit,negative,EAIO
"plug - in or usb microphones seem to work fine , so it ' s not a terribly big issue and i don ' t really even use a microphone that often , but it ' s annoying to buy a product and not have it working .",product,GENERAL,annoying,negative,EAEO
the broken mic was not a dealbreaker but annoying in a brand new device .,mic,GENERAL,annoying,negative,EAEO
"in addition , in my short time using the device , i realized how much i dislike having fingerprints on my computer screen .",fingerprints,GENERAL,dislike,negative,EAEO
good looking laptop but hardware has several major problems .,laptop,DESIGN_FEATURES,good,positive,EAEO
good looking laptop but hardware has several major problems .,hardware,GENERAL,implicit,negative,EAIO
microphone is not really working ( you have to basically yell while alsmost touching it with you lips in order for someone else to hear you ) .,microphone,OPERATION_PERFORMANCE,implicit,negative,EAIO
when switching between tablet and laptop mode quickly the screen will blink and turn off for an extended period of time before turning back on .,screen,OPERATION_PERFORMANCE,implicit,negative,EAIO
"called acer support , they were completely useless .",acer,GENERAL,useless,negative,EAEO
keeps disconnecting from my wifi at work .,wifi,OPERATION_PERFORMANCE,implicit,negative,EAIO
it was nice when it was working .,implicit,GENERAL,nice,positive,IAEO
"i ' ve called twice to try to connect it to printer , first call they told me i had to get a cloud ready printer after getting said printer it still doesn ' t connect .",implicit,CONNECTIVITY,implicit,negative,IAIO
very disappointed in this machine .,machine,GENERAL,disappointed,negative,EAEO
i typically love acers ( i have a regular laptop ) but this machine has been a nightmare .,machine,GENERAL,nightmare,negative,EAEO
issue summary : frequent crashing,implicit,OPERATION_PERFORMANCE,crashing,negative,IAEO
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",hd,GENERAL,implicit,neutral,EAIO
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",intel,GENERAL,implicit,neutral,EAIO
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",chrome,GENERAL,implicit,neutral,EAIO
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",cb5,GENERAL,implicit,neutral,EAIO
"6 - inch hd touch , intel celeron n3150 , 4gb ddr3l , 32gb , chrome , cb5 - 132t - c1lk",4gb,GENERAL,implicit,neutral,EAIO
it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .,screen,OPERATION_PERFORMANCE,crashes,negative,EAEO
it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .,screen,OPERATION_PERFORMANCE,bizarre,negative,EAEO
this issue happens more frequently when using netflix ( app or through chrome browser ) .,happens,GENERAL,implicit,negative,EAIO
this issue happens more frequently when using netflix ( app or through chrome browser ) .,chrome,GENERAL,implicit,negative,EAIO
"however it can happen at random , for example when signing into gmail .",implicit,GENERAL,implicit,negative,IAIO
"it ' s okay for email , facebook , surfing the net , etc .",email,GENERAL,okay,neutral,EAEO
"it ' s okay for email , facebook , surfing the net , etc .",facebook,GENERAL,okay,neutral,EAEO
"so , this one isn ' t working out very well for my needs .",implicit,GENERAL,',negative,IAEO
i hope it is fixed this time .,implicit,GENERAL,implicit,negative,IAIO
the other is excellent !,implicit,GENERAL,excellent,positive,IAEO
"has lots of issues , screen freezing , i was hoping to use it for banking etc .",screen,QUALITY,implicit,negative,EAIO
"has lots of issues , screen freezing , i was hoping to use it for banking etc .",implicit,GENERAL,implicit,neutral,IAIO
it feels like a tablet / computer for a child since it ' s so bulky and heavy .,tablet,GENERAL,bulky,negative,EAEO
it feels like a tablet / computer for a child since it ' s so bulky and heavy .,tablet,GENERAL,heavy,negative,EAEO
it feels like a tablet / computer for a child since it ' s so bulky and heavy .,computer,GENERAL,bulky,negative,EAEO
it feels like a tablet / computer for a child since it ' s so bulky and heavy .,computer,GENERAL,heavy,negative,EAEO
the mousepad was not very responsive .,mousepad,QUALITY,not,negative,EAEO
i really think it ' s junk .,implicit,GENERAL,junk,negative,IAEO
"runs good , poor battery life .",implicit,OPERATION_PERFORMANCE,good,positive,IAEO
"runs good , poor battery life .",battery,QUALITY,poor,negative,EAEO
"this one is horrible , never can connect .",implicit,OPERATION_PERFORMANCE,horrible,negative,IAEO
"after years of using amazon for hundreds of orders , this is my very first negative review :",amazon,GENERAL,negative,negative,EAEO
i was very excited at the prospect of buying this laptop .,laptop,GENERAL,excited,positive,EAEO
