sentence,aspect_term,category,opinion_term,polarity,implicitness
"judging from previous posts this used to be a good place , but not any longer .","place ,",general,not any longer .,negative,EAEO
"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff acted,general,rude .,negative,EAEO
"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",implicit,general,implicit,negative,IAIO
the food was lousy - too sweet or too salty and the portions tiny .,food was,quality,lousy -,negative,EAEO
the food was lousy - too sweet or too salty and the portions tiny .,food was,quality,too sweet or,negative,EAEO
the food was lousy - too sweet or too salty and the portions tiny .,food was,quality,too salty and,negative,EAEO
the food was lousy - too sweet or too salty and the portions tiny .,portions tiny,ambience,tiny .,negative,EAEO
"after all that , they complained to me about the small tip .",implicit,general,complained to,negative,IAEO
avoid this place !,place !,general,avoid this,negative,EAEO
"i have eaten at saul , many times , the food is always consistently , outrageously good .",food is,quality,outrageously good .,positive,EAEO
saul is the best restaurant on smith street and in brooklyn .,saul is,general,best restaurant,positive,EAEO
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs was,quality,out of this world .,positive,EAEO
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit is,quality,amazing and,positive,EAEO
the wine list is interesting and has many good values .,wine list is,ambience,interesting and,positive,EAEO
the wine list is interesting and has many good values .,wine list is,price,good values .,positive,EAEO
"for the price , you can not eat this well in manhattan .",implicit,price,well in,positive,IAEO
"for the price , you can not eat this well in manhattan .",implicit,quality,well in,positive,IAEO
i was very disappointed with this restaurant .,restaurant .,general,disappointed with,negative,EAEO
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant for,general,implicit,negative,EAIO
i had to ask her three times before she finally came back with the dish ive requested .,implicit,general,implicit,negative,IAIO
"food was okay , nothing great .",food was,quality,"okay ,",neutral,EAEO
"food was okay , nothing great .",food was,quality,nothing great .,neutral,EAEO
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow fun was,quality,dry ;,negative,EAEO
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,pork shu mai was,quality,greasy and,negative,EAEO
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,implicit,general,loud and,negative,IAEO
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,implicit,general,rude family,negative,IAEO
i / we will never go back to this place again .,place again,general,never go back to,negative,EAEO
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",fish bringing,general,great !,positive,EAEO
"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",implicit,general,glad this,positive,IAEO
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",service was,general,"devine ,",positive,EAEO
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",oysters where,quality,sensual as,positive,EAEO
"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !",implicit,price,implicit,positive,IAIO
you ca n ' t go wrong here .,implicit,general,implicit,positive,IAIO
every time in new york i make it a point to visit restaurant saul on smith street .,restaurant saul on,general,implicit,positive,EAIO
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service is,general,"excellent ,",positive,EAEO
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor cool,general,cool and,positive,EAEO
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor cool,general,understated .,positive,EAEO
"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",implicit,quality,"perfection ,",positive,IAEO
i had the duck breast special on my last visit and it was incredible .,duck breast special on,quality,incredible .,positive,EAEO
and i hate to say this but i doubt i ' ll ever go back .,implicit,general,doubt i,negative,IAEO
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food is,quality,average .,negative,EAEO
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",thai fusion stuff is,quality,"too sweet ,",negative,EAEO
"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",implicit,quality,too sweet here,negative,IAEO
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,grilled chicken special with edamame puree .,quality,enjoyed was,positive,EAEO
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,edamame pureed before,quality,tasty (,positive,EAEO
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,edamame pureed before,ambience,innovative and,positive,EAEO
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place look,general,sleek and,negative,EAEO
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place look,general,modern .,negative,EAEO
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",decor is,general,night tho,positive,EAEO
"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",vent in,general,"un - appetizing ,",negative,EAEO
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,service was,general,great !,positive,EAEO
the perfect spot .,spot .,general,perfect spot,positive,EAEO
food - awesome .,food -,quality,awesome .,neutral,EAEO
service - friendly and attentive .,service -,general,friendly and,positive,EAEO
service - friendly and attentive .,service -,general,attentive .,positive,EAEO
ambiance - relaxed and stylish .,ambiance -,general,relaxed and,positive,EAEO
ambiance - relaxed and stylish .,ambiance -,general,stylish .,positive,EAEO
"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place prima,general,implicit,positive,EAIO
the food is decent .,food is,quality,decent .,neutral,EAEO
"however , it ' s the service that leaves a bad taste in my mouth .",service that,general,bad taste in,negative,EAEO
"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",waiter intimidate,general,bad asking,negative,EAEO
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",implicit,general,implicit,negative,IAIO
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",implicit,general,implicit,negative,IAIO
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",implicit,general,implicit,negative,IAIO
the last time i walked by it looked pretty empty . hmmm .,implicit,general,empty .,negative,IAEO
