Sentence,Aspect,Category,Opinion,Polarity,Implicitness
i like the shoes .,shoes,general,i like,positive,EAEO
they are comfortable .,null,performance#comfort,they are comfortable,positive,IAEO
however i don ' t feel they are anywheres near the quality i ' ve come to expect from new balance .,new balance,appearance#misc,i don ' t feel they are anywheres near the quality,negative,EAEO
they seem quite pricey for what they are .,null,cost/value,seem quite pricey for what they are,negative,IAEO
new balance did great with the design of these shoes .,shoes,appearance#general,great with the design,positive,EAEO
they look great in all the color combos they released .,null,appearance#color,look great in all the color combos,positive,IAEO
i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,null,contextofuse#use case,i love that they ' re low key and not crazy,positive,IAEO
i love that they ' re low key and not crazy neon colors that aren ' t practical for street wear .,neon colors,appearance#color,i love that they ' re low key and not crazy,positive,EAEO
for me they did not work .,null,performance#general,for me they did not work,negative,IAEO
"ran small , but the weight of them were nice .",null,appearance#material,the weight of them were nice,positive,IAEO
"ran small , but the weight of them were nice .",null,performance#sizing/fit,ran small,negative,IAEO
hardly noticed they were in your hand .,null,appearance#material,hardly noticed they were in your hand,positive,IAEO
i think they are cute and light weight .,null,appearance#material,light weight,positive,IAEO
i think they are cute and light weight .,null,appearance#form,i think they are cute,positive,IAEO
they were too narrow for me .,null,performance#sizing/fit,too narrow for me,negative,IAEO
i did order a wide but still too narrow .,null,performance#sizing/fit,i did order a wide but still too narrow,negative,IAEO
omg these are the most comfortable sneakers in the world .,sneakers,performance#comfort,omg these are the most comfortable sneakers in the world,positive,EAEO
"i can walk 5 , 6 , 7 miles in them .",null,performance#use case applicability,"i can walk 5 , 6 , 7 miles",positive,IAEO
"i can walk 5 , 6 , 7 miles in them .",null,performance#comfort,"i can walk 5 , 6 , 7 miles",positive,IAEO
my whole body may be tired but my feet are great !,null,performance#general,my whole body may be tired but my feet are great,positive,IAEO
they are way to small on my husband .,null,performance#sizing/fit,they are way to small on my husband,negative,IAEO
maybe i fluked but will be returning .,null,contextofuse#purchase\_context,maybe i fluked but will be returning,negative,IAEO
are these women ' s ?,null,performance#sizing/fit,are these women ' s ?,negative,IAEO
if should bot take this long to get shoes these shoes .,shoes,contextofuse#purchase\_context,should bot take this long to get,negative,EAEO
they were a birthday gift .,null,contextofuse#purchase\_context,were a birthday gift,neutral,IAEO
now too late .,null,contextofuse#purchase\_context,now too late,negative,IAEO
thanks nb,null,contextofuse#purchase\_context,thanks,negative,IAEO
loved the look of these but couldn ' t wear them .,null,performance#general,but couldn ' t wear them,negative,IAEO
loved the look of these but couldn ' t wear them .,null,appearance#general,loved the look of these,negative,IAEO
"they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable .",lace,appearance#shoe component,when you try to lace them tighter they just wrinkle,negative,EAEO
"they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable .",null,performance#comfort,very uncomfortable,negative,IAEO
"they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable .",null,performance#sizing/fit,very wide,negative,IAEO
"they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable .",null,appearance#form,when you try to lace them tighter they just wrinkle,negative,IAEO
would work best for someone with a wider foot .,null,appearance#form,would work best for someone with a wider foot,neutral,IAEO
returned .,null,cost/value,returned,negative,IAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year .",shoes,contextofuse#purchase\_context,bought two pairs,neutral,EAEO
one pair fit perfect but this show ran very small .,one pair fit,performance#sizing/fit,perfect,positive,EAEO
one pair fit perfect but this show ran very small .,this show,performance#sizing/fit,very small,negative,EAEO
i returned and ordered a different pair of shoes .,shoes,contextofuse#purchase\_context,returned and ordered a different pair,negative,EAEO
if i bought these again i would need a size up .,null,performance#sizing/fit,i would need a size up,neutral,IAEO
shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .,shoe,performance#comfort,light weight and comfortable,positive,EAEO
i always wear an 11 and have no problems .,11,performance#sizing/fit,no problems,positive,EAEO
"these were too short , my toes hit the front of the shoe .",shoe,performance#sizing/fit,"too short , my toes hit the front of the shoe",negative,EAEO
"instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",returning,contextofuse#purchase\_context,hassle,negative,EAEO
"instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",null,contextofuse#use case,let my daughter wear,positive,IAEO
this new pair i purchased was shorter in length for the same size i ' ve purchased in the past .,new pair,contextofuse#review\_temporality,shorter in length for the same size i ' ve purchased in the past,neutral,EAEO
this new pair i purchased was shorter in length for the same size i ' ve purchased in the past .,new pair,performance#sizing/fit,shorter in length for the same size,negative,EAEO
i opted to return instead of size up .,return,cost/value,i opted to return instead of size up,negative,EAEO
i got these because they were listed as good walking shoes .,null,contextofuse#purchase\_context,i got these because they were listed as good walking shoes,neutral,IAEO
they are not if you have a high arch .,null,performance#use case applicability,they are not if you have a high arch,negative,IAEO
they are not if you have a high arch .,arch,appearance#shoe component,they are not if you have a high arch,negative,EAEO
there is no arch support at all .,null,performance#support/stability,there is no arch support at all,negative,IAEO
there is no arch support at all .,arch support,appearance#shoe component,there is no arch support at all,negative,EAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide .,null,performance#sizing/fit,i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide,negative,IAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide .,null,contextofuse#purchase\_context,i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide,neutral,IAEO
i workout 5 days a week and i need the comfort of the new balance .,new balance,contextofuse#usage frequency,workout 5 days a week,neutral,EAEO
i workout 5 days a week and i need the comfort of the new balance .,workout,contextofuse#use case,workout 5 days a week,neutral,EAEO
i workout 5 days a week and i need the comfort of the new balance .,new balance,performance#comfort,i need the comfort,negative,EAEO
i would appreciate some feedback on sizing,null,performance#sizing/fit,i would appreciate some feedback on sizing,negative,IAEO
i have had these shoes for less than a month and the gold stripe is already coming off one shoe .,shoes,contextofuse#usage frequency,i have had these shoes for less than a month and the gold stripe is already coming off one shoe,negative,EAEO
i have had these shoes for less than a month and the gold stripe is already coming off one shoe .,gold stripe,appearance#shoe component,i have had these shoes for less than a month and the gold stripe is already coming off one shoe,negative,EAEO
it is starting to come off on the other as well .,null,appearance#shoe component,it is starting to come off on the other as well,negative,IAEO
i use them for a zumba class and i don ' t think they really have enough support .,null,contextofuse#use case,use them for a zumba class,neutral,IAEO
i use them for a zumba class and i don ' t think they really have enough support .,null,performance#support/stability,don ' t think they really have enough support,negative,IAEO
i like the style of them and how light they are but i would like more support .,null,appearance#form,like the style,positive,IAEO
i like the style of them and how light they are but i would like more support .,null,appearance#material,how light they are,positive,IAEO
i like the style of them and how light they are but i would like more support .,null,performance#support/stability,would like more support,negative,IAEO
runs small .,null,performance#sizing/fit,runs small,negative,IAEO
i ' m a 10 in women ' s and these were very small .,null,performance#sizing/fit,these were very small,negative,IAEO
not comfortable and quality was lacking .,null,appearance#misc,quality was lacking,negative,IAEO
not comfortable and quality was lacking .,null,performance#comfort,not comfortable,negative,IAEO
these shoes are basics useless because the soles squeak .,shoes,performance#general,basics useless,negative,EAEO
these shoes are basics useless because the soles squeak .,soles,appearance#shoe component,the soles squeak,negative,EAEO
these shoes are basics useless because the soles squeak .,shoes,performance#use case applicability,the soles squeak,negative,EAEO
it ' s annoying to walk in them and i feel self content when people are near .,null,performance#use case applicability,annoying to walk in,negative,IAEO
it ' s annoying to walk in them and i feel self content when people are near .,null,contextofuse#use case,feel self content when people are near,negative,IAEO
5 months later the tread is pealing off the bottom .,tread,performance#durability,is pealing off the bottom,negative,EAEO
5 months later the tread is pealing off the bottom .,tread,appearance#shoe component,is pealing off the bottom,negative,EAEO
customer service wont fix .,null,contextofuse#purchase\_context,customer service wont fix,negative,IAEO
will never buy new balance shoes again .,new balance shoes,cost/value,will never buy new balance shoes again,negative,EAEO
like the look and feel of these shoes .,shoes,appearance#general,like the look and feel of these shoes,positive,EAEO
like the look and feel of these shoes .,shoes,performance#general,like the look and feel of these shoes,positive,EAEO
the memory foam insert in soft however i ' m used to the added arch response 2 .,memory foam insert,appearance#shoe component,in soft,positive,EAEO
0 insert from the fuel core coast so it ' s hard to get used to as it feels so narrow .,null,appearance#form,it ' s hard to get used to as it feels so narrow,negative,IAEO
i bought for running and after my second pair the first pair were to small and not wide enough but i dont have wide feet .,first pair,contextofuse#use case,i bought for running,neutral,EAEO
i bought for running and after my second pair the first pair were to small and not wide enough but i dont have wide feet .,first pair,performance#sizing/fit,to small and not wide enough,negative,EAEO
2nd pair up a size and got the wide still not wide enough and are to big,2nd pair,performance#sizing/fit,the wide still not wide enough and are to big,negative,EAEO
wanted to love this shoe .,shoe,general,wanted to love,negative,EAEO
"lots of support , light for zumba , but the fit was too small .",null,performance#support/stability,lots of support,positive,IAEO
"lots of support , light for zumba , but the fit was too small .",null,performance#use case applicability,light for zumba,positive,IAEO
"lots of support , light for zumba , but the fit was too small .",null,performance#sizing/fit,but the fit was too small,negative,IAEO
"i had to return , and am cautious about ordering the next size up .",null,performance#sizing/fit,and am cautious about ordering the next size up,negative,IAEO
"i had to return , and am cautious about ordering the next size up .",null,contextofuse#purchase\_context,i had to return,negative,IAEO
"i had to return , and am cautious about ordering the next size up .",null,contextofuse#purchase\_context,and am cautious about ordering the next size up,negative,IAEO
"this is a disappointment , as new balance shoes always fit so well .",new balance shoes,performance#sizing/fit,"this is a disappointment , as new balance shoes always fit so well",negative,EAEO
"this is the 3rd time i ' m buying this shoes , so clearly i love these shoes .",shoes,general,i love,positive,EAEO
"this is the 3rd time i ' m buying this shoes , so clearly i love these shoes .",shoes,contextofuse#purchase\_context,this is the 3rd time i ' m buying,neutral,EAEO
my perfect winter shoes .,shoes,contextofuse#use case,my perfect winter shoes,positive,EAEO
usually really like nb .,nb,general,usually really like nb,negative,EAEO
this particular show has too small toe box .,particular show,appearance#form,too small toe box,negative,EAEO
orthotic will not fit !,orthotic,appearance#form,will not fit,negative,EAEO
"this looks like it is supposed to be a replacement for the 1069 , which was a great shoe for my problem feet .",1069,performance#general,great shoe for my problem feet,positive,EAEO
i loved the support however started to come apart at the top on both shoes .,top,appearance#shoe component,started to come apart at the top,negative,EAEO
i loved the support however started to come apart at the top on both shoes .,both shoes,performance#support/stability,loved the support,positive,EAEO
i loved the support however started to come apart at the top on both shoes .,both shoes,performance#durability,started to come apart at the top,negative,EAEO
same spot so i think there is a design flaw .,null,appearance#shoe component,same spot so i think there is a design flaw,negative,IAEO
not sure how long these will last .,null,performance#durability,not sure how long these will last,negative,IAEO
this was after 1 week and 1 4 mile hiking trip .,null,contextofuse#usage frequency,after 1 week and 1 4 mile hiking trip,neutral,IAEO
this was after 1 week and 1 4 mile hiking trip .,null,performance#use case applicability,after 1 week and 1 4 mile hiking trip,negative,IAEO
perfect to go any where you want and home too yes !,null,contextofuse#use case,perfect to go any where you want and home,positive,IAEO
"nervous at first because of reviews but i have a big foot and i find it so comfortable to squat , deadlift , and powerclean in .",null,performance#use case applicability,"find it so comfortable to squat , deadlift , and powerclean in",positive,IAEO
id say 4 / 5 because cant run in it .,run,performance#use case applicability,4 / 5 because cant run in it,negative,EAEO
they we ' re uncomfortable for my feet .,null,performance#comfort,uncomfortable for my feet,negative,IAEO
good looking shoe but i returned them !,shoe,appearance#general,good looking shoe but i returned them,positive,EAEO
good looking shoe but i returned them !,shoe,cost/value,good looking shoe but i returned them,negative,EAEO
shoes look great .,shoes,appearance#general,look great,positive,EAEO
ordered a wide for my hubby and he couldn ' t even get his foot into the shoe .,for my hubby,contextofuse#purchase\_context,ordered a wide,neutral,EAEO
ordered a wide for my hubby and he couldn ' t even get his foot into the shoe .,shoe,performance#sizing/fit,couldn ' t even get his foot into the shoe,negative,EAEO
